Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,"Area, NOT",Study File ID,Sample,"WT,RT",Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,AreaBTZ,Study File ID,Sample,"WT,RT",Enrichment
TRUE,268.17821,12.44,0.107,2,1,12579249.05,F35,NOT,"268.17821,12.44",TRUE,268.17821,12.44,0.123,2,1,11201225.54,F4,BTZ,"268.17821,12.44",0.890452641
TRUE,216.13586,12.449,0.077,3,3,220141916.2,F40,NOT,"216.13586,12.449",TRUE,216.13586,12.449,0.079,3,4,204434903.6,F5,BTZ,"216.13586,12.449",0.928650514
TRUE,534.15073,12.475,0.073,2,1,15778446.81,F43,NOT,"534.15073,12.475",TRUE,534.15073,12.475,0.07,2,1,29576926.92,F13,BTZ,"534.15073,12.475",1.874514474
TRUE,180.042,12.479,0.077,3,2,195799933.8,F39,NOT,"180.042,12.479",TRUE,180.042,12.479,0.078,3,2,178713050.6,F6,BTZ,"180.042,12.479",0.912732947
TRUE,453.35585,12.487,0.091,2,1,17042754.8,F39,NOT,"453.35585,12.487",TRUE,453.35585,12.487,0.079,2,1,12516275.33,F6,BTZ,"453.35585,12.487",0.734404471
TRUE,256.04918,12.511,0.105,2,1,16730165.61,F44,NOT,"256.04918,12.511",TRUE,256.04918,12.511,0.102,2,1,11421642.46,F11,BTZ,"256.04918,12.511",0.682697513
TRUE,443.33641,12.518,0.126,2,1,26678104.12,F38,NOT,"443.33641,12.518",TRUE,443.33641,12.518,0.125,2,1,16856335.99,F6,BTZ,"443.33641,12.518",0.6318416
TRUE,335.22117,12.625,0.11,2,1,61914559.64,F39,NOT,"335.22117,12.625",TRUE,335.22117,12.625,0.115,2,1,83245973.19,F7,BTZ,"335.22117,12.625",1.344529844
TRUE,226.15655,12.629,0.101,2,1,26544394.08,F45,NOT,"226.15655,12.629",TRUE,226.15655,12.629,0.105,2,1,20252958.16,F11,BTZ,"226.15655,12.629",0.762984384
TRUE,543.12761,12.632,0.078,3,1,74999727.63,F35,NOT,"543.12761,12.632",TRUE,543.12761,12.632,0.084,3,1,125872553.5,F3,BTZ,"543.12761,12.632",1.678306808
TRUE,351.16368,12.638,0.071,3,1,9321360.432,F41,NOT,"351.16368,12.638",TRUE,351.16368,12.638,0.065,3,1,5709085.399,F11,BTZ,"351.16368,12.638",0.612473409
TRUE,243.18331,12.64,0.082,3,4,1781149671,F37,NOT,"243.18331,12.64",TRUE,243.18331,12.64,0.076,4,4,1570730553,F5,BTZ,"243.18331,12.64",0.881863315
TRUE,172.07326,12.643,0.085,2,3,121684242.7,F39,NOT,"172.07326,12.643",TRUE,172.07326,12.643,0.079,2,3,146383078.2,F6,BTZ,"172.07326,12.643",1.202974806
TRUE,343.12446,12.658,0.1,3,1,32853200.66,F38,NOT,"343.12446,12.658",TRUE,343.12446,12.658,0.106,3,1,22260275.96,F6,BTZ,"343.12446,12.658",0.677567954
TRUE,366.12712,12.663,0.113,3,1,35357355.61,F41,NOT,"366.12712,12.663",TRUE,366.12712,12.663,0.125,3,1,21029923.19,F8,BTZ,"366.12712,12.663",0.594782127
TRUE,150.0673,12.664,0.074,2,1,54492570.26,F39,NOT,"150.0673,12.664",TRUE,150.0673,12.664,0.051,2,1,18440970.52,F3,BTZ,"150.0673,12.664",0.338412566
TRUE,321.14262,12.668,0.073,2,1,19461869.7,F36,NOT,"321.14262,12.668",TRUE,321.14262,12.668,0.091,2,1,13968245.58,F6,BTZ,"321.14262,12.668",0.717723723
TRUE,156.07848,12.688,0.1,2,2,241970722.1,F40,NOT,"156.07848,12.688",TRUE,156.07848,12.688,0.108,1,2,202274585.1,F7,BTZ,"156.07848,12.688",0.835946528
TRUE,402.0952,12.692,0.082,2,1,36788163.99,F42,NOT,"402.0952,12.692",TRUE,402.0952,12.692,0.075,3,1,24183059.2,F8,BTZ,"402.0952,12.692",0.657359775
TRUE,305.27104,12.76,0.091,2,1,15009544.16,F40,NOT,"305.27104,12.76",TRUE,305.27104,12.76,0.084,2,1,13806084.22,F8,BTZ,"305.27104,12.76",0.919820354
TRUE,198.12521,12.762,0.194,2,1,51614317.34,F35,NOT,"198.12521,12.762",TRUE,198.12521,12.762,0.188,2,1,53276473.15,F8,BTZ,"198.12521,12.762",1.032203386
TRUE,300.19383,12.817,0.08,2,1,17065699.51,F40,NOT,"300.19383,12.817",TRUE,300.19383,12.817,0.084,2,1,17160185.36,F7,BTZ,"300.19383,12.817",1.005536594
TRUE,359.99971,12.856,0.087,3,1,11065705.84,F40,NOT,"359.99971,12.856",TRUE,359.99971,12.856,0.077,3,1,10911227.09,F4,BTZ,"359.99971,12.856",0.986039865
TRUE,359.99986,12.857,0.076,3,1,16962909.49,F38,NOT,"359.99986,12.857",TRUE,359.99986,12.857,0.066,2,1,6397251.671,F3,BTZ,"359.99986,12.857",0.377131746
TRUE,299.17262,12.877,0.135,2,1,16352367.51,F40,NOT,"299.17262,12.877",TRUE,299.17262,12.877,0.124,3,1,15886958.05,F7,BTZ,"299.17262,12.877",0.971538711
TRUE,194.14162,12.901,0.065,2,1,18623773,F39,NOT,"194.14162,12.901",TRUE,194.14162,12.901,0.054,2,1,10357875.52,F6,BTZ,"194.14162,12.901",0.556164184
TRUE,465.13249,12.951,0.06,3,1,119499503.6,F36,NOT,"465.13249,12.951",TRUE,465.13249,12.951,0.05,3,1,58368917.31,F3,BTZ,"465.13249,12.951",0.488444852
TRUE,158.09357,12.955,0.086,2,1,18653405.49,F39,NOT,"158.09357,12.955",TRUE,158.09357,12.955,0.082,2,1,17619573.79,F3,BTZ,"158.09357,12.955",0.944576785
TRUE,206.09392,12.956,0.086,2,1,19318315.28,F38,NOT,"206.09392,12.956",TRUE,206.09392,12.956,0.095,2,1,14394223.48,F6,BTZ,"206.09392,12.956",0.745107597
TRUE,313.03719,12.957,0.087,2,1,41058780.36,F40,NOT,"313.03719,12.957",TRUE,313.03719,12.957,0.089,3,1,39016600.22,F7,BTZ,"313.03719,12.957",0.950262036
TRUE,283.03813,12.958,0.12,2,1,26401815.12,F38,NOT,"283.03813,12.958",TRUE,283.03813,12.958,0.094,3,1,31868534.81,F7,BTZ,"283.03813,12.958",1.207058479
TRUE,646.45656,12.987,0.043,2,1,14220307.43,F35,NOT,"646.45656,12.987",TRUE,646.45656,12.987,0.056,2,1,9251598.385,F5,BTZ,"646.45656,12.987",0.650590603
TRUE,188.14064,13.006,0.113,2,1,20657017.23,F45,NOT,"188.14064,13.006",TRUE,188.14064,13.006,0.1,2,1,36125219.27,F11,BTZ,"188.14064,13.006",1.748811015
TRUE,200.14087,13.035,0.101,2,2,66277503.18,F37,NOT,"200.14087,13.035",TRUE,200.14087,13.035,0.113,2,2,21963582.31,F7,BTZ,"200.14087,13.035",0.331388197
TRUE,216.13584,13.094,0.09,2,1,7587033.305,F38,NOT,"216.13584,13.094",TRUE,216.13584,13.094,0.084,2,1,7867401.247,F3,BTZ,"216.13584,13.094",1.036953567
TRUE,183.0893,13.096,0.12,2,1,8949091.89,F40,NOT,"183.0893,13.096",TRUE,183.0893,13.096,0.122,2,1,10327628.04,F4,BTZ,"183.0893,13.096",1.154042015
TRUE,584.32945,13.15,0.093,3,1,38658711.03,F41,NOT,"584.32945,13.15",TRUE,584.32945,13.15,0.094,3,1,34177338.14,F13,BTZ,"584.32945,13.15",0.884078575
TRUE,227.18811,13.223,0.094,3,6,3033207834,F40,NOT,"227.18811,13.223",TRUE,227.18811,13.223,0.096,3,6,3132081469,F6,BTZ,"227.18811,13.223",1.032597052
TRUE,393.29845,13.224,0.078,2,1,22202872.96,F39,NOT,"393.29845,13.224",TRUE,393.29845,13.224,0.081,2,1,21947793.21,F7,BTZ,"393.29845,13.224",0.988511408
TRUE,422.31398,13.224,0.098,2,1,13958656.11,F38,NOT,"422.31398,13.224",TRUE,422.31398,13.224,0.104,2,1,9416189.619,F4,BTZ,"422.31398,13.224",0.67457709
TRUE,227.18825,13.225,0.09,3,6,3214033912,F36,NOT,"227.18825,13.225",TRUE,227.18825,13.225,0.094,4,6,2462897852,F5,BTZ,"227.18825,13.225",0.766294918
TRUE,407.10231,13.243,0.092,3,1,8975540.812,F35,NOT,"407.10231,13.243",TRUE,407.10231,13.243,0.09,3,1,13452195.07,F4,BTZ,"407.10231,13.243",1.498761507
TRUE,220.07303,13.247,0.094,2,2,49705707.45,F45,NOT,"220.07303,13.247",TRUE,220.07303,13.247,0.082,2,2,42950044.02,F11,BTZ,"220.07303,13.247",0.864086766
TRUE,240.1145,13.247,0.071,2,1,37303036.4,F36,NOT,"240.1145,13.247",TRUE,240.1145,13.247,0.081,2,1,19235786.12,F4,BTZ,"240.1145,13.247",0.515662744
TRUE,339.25514,13.259,0.082,2,1,22134780.42,F45,NOT,"339.25514,13.259",TRUE,339.25514,13.259,0.071,2,1,16030895.49,F11,BTZ,"339.25514,13.259",0.724240096
TRUE,339.25514,13.259,0.078,2,1,9190195.081,F43,NOT,"339.25514,13.259",TRUE,339.25514,13.259,0.071,2,1,16030895.49,F11,BTZ,"339.25514,13.259",1.744347682
TRUE,240.06694,13.319,0.044,3,2,53124680.06,F40,NOT,"240.06694,13.319",TRUE,240.06694,13.319,0.075,3,2,81980109.11,F5,BTZ,"240.06694,13.319",1.543164289
TRUE,712.30363,13.371,0.084,4,3,136022595.2,F43,NOT,"712.30363,13.371",TRUE,712.30363,13.371,0.081,4,3,219626225.3,F12,BTZ,"712.30363,13.371",1.614630459
TRUE,430.35565,13.39,0.077,3,2,60428492.87,F36,NOT,"430.35565,13.39",TRUE,430.35565,13.39,0.08,3,2,42354683.36,F6,BTZ,"430.35565,13.39",0.700905837
TRUE,176.15631,13.397,0.074,2,1,9121234.872,F37,NOT,"176.15631,13.397",TRUE,176.15631,13.397,0.084,2,1,13744361.85,F4,BTZ,"176.15631,13.397",1.506853189
TRUE,176.15608,13.399,0.078,2,1,10801855.19,F45,NOT,"176.15608,13.399",TRUE,176.15608,13.399,0.078,2,1,9218119.336,F12,BTZ,"176.15608,13.399",0.853382977
TRUE,204.1146,13.427,0.075,2,1,29645508.44,F45,NOT,"204.1146,13.427",TRUE,204.1146,13.427,0.057,2,1,24564516.69,F8,BTZ,"204.1146,13.427",0.828608379
TRUE,204.11472,13.427,0.065,2,1,25505559.91,F39,NOT,"204.11472,13.427",TRUE,204.11472,13.427,0.069,2,1,29645861.01,F7,BTZ,"204.11472,13.427",1.162329355
TRUE,171.16211,13.465,0.093,2,1,9182467.632,F37,NOT,"171.16211,13.465",TRUE,171.16211,13.465,0.073,2,1,9701891.916,F5,BTZ,"171.16211,13.465",1.056566961
TRUE,367.19963,13.476,0.048,5,1,41054802.82,F39,NOT,"367.19963,13.476",TRUE,367.19963,13.476,0.093,3,1,70744904.5,F8,BTZ,"367.19963,13.476",1.723182177
TRUE,338.22008,13.562,0.11,2,1,54582604.58,F36,NOT,"338.22008,13.562",TRUE,338.22008,13.562,0.113,2,1,30234228.5,F6,BTZ,"338.22008,13.562",0.553916925
TRUE,232.16709,13.583,0.087,2,2,94843585.79,F45,NOT,"232.16709,13.583",TRUE,232.16709,13.583,0.095,3,2,128061812.7,F8,BTZ,"232.16709,13.583",1.350242208
TRUE,324.19411,13.599,0.101,2,1,11004933.64,F36,NOT,"324.19411,13.599",TRUE,324.19411,13.599,0.11,2,1,14390410,F4,BTZ,"324.19411,13.599",1.307632601
TRUE,508.42281,13.603,0.104,3,1,149139519.7,F44,NOT,"508.42281,13.603",TRUE,508.42281,13.603,0.1,3,1,88104773.04,F13,BTZ,"508.42281,13.603",0.590754035
TRUE,214.06273,13.606,0.064,2,1,20421806.39,F38,NOT,"214.06273,13.606",TRUE,214.06273,13.606,0.061,2,1,18111341.73,F4,BTZ,"214.06273,13.606",0.886862865
TRUE,188.08353,13.608,0.098,3,2,270008888.2,F36,NOT,"188.08353,13.608",TRUE,188.08353,13.608,0.095,3,2,195107262.3,F4,BTZ,"188.08353,13.608",0.722595703
TRUE,242.12998,13.611,0.087,2,1,12598299.91,F44,NOT,"242.12998,13.611",TRUE,242.12998,13.611,0.115,2,1,13958825.16,F13,BTZ,"242.12998,13.611",1.107992766
TRUE,142.07813,13.612,0.124,2,1,43732611.41,F40,NOT,"142.07813,13.612",TRUE,142.07813,13.612,0.105,2,1,60281233.24,F3,BTZ,"142.07813,13.612",1.378404611
TRUE,301.04918,13.616,0.103,3,1,38304425.02,F45,NOT,"301.04918,13.616",TRUE,301.04918,13.616,0.11,3,1,47219716.05,F8,BTZ,"301.04918,13.616",1.232748332
TRUE,567.42424,13.621,0.069,2,1,12708681.6,F35,NOT,"567.42424,13.621",TRUE,567.42424,13.621,0.107,3,1,23486769.87,F5,BTZ,"567.42424,13.621",1.848088622
TRUE,714.38344,13.624,0.065,2,1,7820666.632,F44,NOT,"714.38344,13.624",TRUE,714.38344,13.624,0.06,2,1,13269962.7,F11,BTZ,"714.38344,13.624",1.696781531
TRUE,340.18876,13.625,0.188,2,1,93674481.29,F38,NOT,"340.18876,13.625",TRUE,340.18876,13.625,0.166,2,1,43054595.13,F4,BTZ,"340.18876,13.625",0.459619253
TRUE,567.42375,13.625,0.067,3,1,78309192.79,F39,NOT,"567.42375,13.625",TRUE,567.42375,13.625,0.075,3,1,74881004.18,F8,BTZ,"567.42375,13.625",0.956222399
TRUE,348.20876,13.626,0.055,2,1,9397225.922,F37,NOT,"348.20876,13.626",TRUE,348.20876,13.626,0.068,4,1,37866381,F3,BTZ,"348.20876,13.626",4.029527577
TRUE,212.10219,13.627,0.067,2,1,12220670.85,F37,NOT,"212.10219,13.627",TRUE,212.10219,13.627,0.078,2,1,32375254.33,F4,BTZ,"212.10219,13.627",2.649220712
TRUE,247.12023,13.635,0.089,2,1,14416841.56,F38,NOT,"247.12023,13.635",TRUE,247.12023,13.635,0.096,2,1,18194959.46,F7,BTZ,"247.12023,13.635",1.262062802
TRUE,237.09943,13.644,0.069,2,1,54038809.93,F45,NOT,"237.09943,13.644",TRUE,237.09943,13.644,0.068,2,1,67539903.29,F11,BTZ,"237.09943,13.644",1.249840686
TRUE,218.13045,13.651,0.073,2,1,249682838.2,F36,NOT,"218.13045,13.651",TRUE,218.13045,13.651,0.067,2,1,193741091.7,F3,BTZ,"218.13045,13.651",0.775948772
TRUE,186.05226,13.688,0.075,2,1,28896325.07,F44,NOT,"186.05226,13.688",TRUE,186.05226,13.688,0.084,2,1,26161159.31,F8,BTZ,"186.05226,13.688",0.90534555
TRUE,438.22551,13.691,0.112,2,1,20449822.84,F41,NOT,"438.22551,13.691",TRUE,438.22551,13.691,0.108,2,1,15132424.88,F12,BTZ,"438.22551,13.691",0.739978287
TRUE,168.15124,13.696,0.062,2,2,34550882.44,F36,NOT,"168.15124,13.696",TRUE,168.15124,13.696,0.065,2,3,61937460.5,F3,BTZ,"168.15124,13.696",1.792644822
TRUE,178.0989,13.715,0.089,3,2,204433827.2,F45,NOT,"178.0989,13.715",TRUE,178.0989,13.715,0.072,3,2,272585528.1,F13,BTZ,"178.0989,13.715",1.333368023
TRUE,240.06301,13.734,0.084,2,2,99033022.29,F39,NOT,"240.06301,13.734",TRUE,240.06301,13.734,0.088,2,1,46619893.77,F8,BTZ,"240.06301,13.734",0.470750995
TRUE,432.17351,13.734,0.073,2,1,13070697.79,F36,NOT,"432.17351,13.734",TRUE,432.17351,13.734,0.083,2,1,12468874.53,F3,BTZ,"432.17351,13.734",0.953956302
TRUE,310.17811,13.78,0.066,3,1,209293023.5,F41,NOT,"310.17811,13.78",TRUE,310.17811,13.78,0.062,2,1,146657120.9,F11,BTZ,"310.17811,13.78",0.700726276
TRUE,310.17808,13.78,0.065,2,1,125951454.9,F45,NOT,"310.17808,13.78",TRUE,310.17808,13.78,0.068,2,2,126974667.3,F8,BTZ,"310.17808,13.78",1.008123863
TRUE,302.13057,13.781,0.061,3,1,13747608.47,F37,NOT,"302.13057,13.781",TRUE,302.13057,13.781,0.06,3,1,30887285.92,F4,BTZ,"302.13057,13.781",2.246738841
TRUE,278.18828,13.783,0.059,3,1,228099708.1,F44,NOT,"278.18828,13.783",TRUE,278.18828,13.783,0.062,3,1,157728560.4,F5,BTZ,"278.18828,13.783",0.691489532
TRUE,329.28194,13.785,0.055,2,1,110643072.3,F44,NOT,"329.28194,13.785",TRUE,329.28194,13.785,0.055,2,1,175890153.8,F11,BTZ,"329.28194,13.785",1.589707789
TRUE,281.03453,13.785,0.063,3,1,51223005.35,F39,NOT,"281.03453,13.785",TRUE,281.03453,13.785,0.073,3,1,121729397.5,F3,BTZ,"281.03453,13.785",2.376459496
TRUE,287.20879,13.786,0.1,2,1,36877899.04,F42,NOT,"287.20879,13.786",TRUE,287.20879,13.786,0.085,2,1,263549966.4,F13,BTZ,"287.20879,13.786",7.146555885
TRUE,353.07991,13.787,0.068,3,1,52970464.3,F36,NOT,"353.07991,13.787",TRUE,353.07991,13.787,0.057,3,1,21265192.96,F5,BTZ,"353.07991,13.787",0.401453777
TRUE,312.19267,13.788,0.075,3,3,454236874.8,F41,NOT,"312.19267,13.788",TRUE,312.19267,13.788,0.077,3,3,175477138.3,F12,BTZ,"312.19267,13.788",0.386311962
TRUE,522.24863,13.788,0.049,2,1,27379112.85,F44,NOT,"522.24863,13.788",TRUE,522.24863,13.788,0.05,2,1,43841542.99,F11,BTZ,"522.24863,13.788",1.601276975
TRUE,150.06771,13.79,0.059,3,1,2165671044,F44,NOT,"150.06771,13.79",TRUE,150.06771,13.79,0.064,3,2,2802877016,F11,BTZ,"150.06771,13.79",1.294230268
TRUE,140.08335,13.79,0.059,3,1,785704471.9,F44,NOT,"140.08335,13.79",TRUE,140.08335,13.79,0.065,3,1,984605050.7,F11,BTZ,"140.08335,13.79",1.253149353
TRUE,120.09393,13.797,0.14,2,1,69332166.13,F39,NOT,"120.09393,13.797",TRUE,120.09393,13.797,0.185,2,1,100026396.6,F6,BTZ,"120.09393,13.797",1.4427127
TRUE,295.17851,13.8,0.093,4,3,1126745216,F41,NOT,"295.17851,13.8",TRUE,295.17851,13.8,0.092,4,3,1473493821,F11,BTZ,"295.17851,13.8",1.307743579
TRUE,132.09377,13.8,0.114,2,1,85908887.62,F42,NOT,"132.09377,13.8",TRUE,132.09377,13.8,0.118,2,1,46448779.56,F7,BTZ,"132.09377,13.8",0.540674904
TRUE,175.09928,13.801,0.092,2,2,57601002.33,F44,NOT,"175.09928,13.801",TRUE,175.09928,13.801,0.099,2,1,26471769.53,F13,BTZ,"175.09928,13.801",0.459571335
TRUE,221.10479,13.802,0.097,1,2,204320017.7,F38,NOT,"221.10479,13.802",TRUE,221.10479,13.802,0.087,2,2,199458698.1,F7,BTZ,"221.10479,13.802",0.976207326
TRUE,175.09952,13.802,0.098,2,1,54991892.4,F39,NOT,"175.09952,13.802",TRUE,175.09952,13.802,0.098,2,1,45874201.63,F4,BTZ,"175.09952,13.802",0.834199363
TRUE,363.16621,13.802,0.098,2,1,26967844.35,F38,NOT,"363.16621,13.802",TRUE,363.16621,13.802,0.092,2,1,19731893.32,F5,BTZ,"363.16621,13.802",0.731682261
TRUE,168.15079,13.825,0.062,2,1,46567779.89,F38,NOT,"168.15079,13.825",TRUE,168.15079,13.825,0.059,2,1,39301186.01,F5,BTZ,"168.15079,13.825",0.843956618
TRUE,166.13561,13.828,0.077,2,1,55098748.31,F39,NOT,"166.13561,13.828",TRUE,166.13561,13.828,0.076,2,2,98624365.3,F6,BTZ,"166.13561,13.828",1.789956548
TRUE,373.22133,13.841,0.058,3,1,31223538.47,F41,NOT,"373.22133,13.841",TRUE,373.22133,13.841,0.07,2,1,16457981.35,F12,BTZ,"373.22133,13.841",0.527101737
TRUE,329.18312,13.842,0.107,2,1,61820131.16,F40,NOT,"329.18312,13.842",TRUE,329.18312,13.842,0.108,2,1,43717377.08,F6,BTZ,"329.18312,13.842",0.707170565
TRUE,180.1146,13.847,0.048,2,1,20837182.23,F43,NOT,"180.1146,13.847",TRUE,180.1146,13.847,0.072,2,1,51007673.78,F13,BTZ,"180.1146,13.847",2.447916096
TRUE,929.32102,13.85,0.075,4,1,36287048.79,F38,NOT,"929.32102,13.85",TRUE,929.32102,13.85,0.065,4,1,63068287.95,F7,BTZ,"929.32102,13.85",1.738038503
TRUE,630.28757,13.852,0.05,3,1,12779663.65,F36,NOT,"630.28757,13.852",TRUE,630.28757,13.852,0.061,2,1,8780638.19,F4,BTZ,"630.28757,13.852",0.687078974
TRUE,180.11478,13.855,0.056,2,1,37032633.77,F40,NOT,"180.11478,13.855",TRUE,180.11478,13.855,0.065,2,1,52033763.54,F6,BTZ,"180.11478,13.855",1.405078663
TRUE,463.30498,13.891,0.069,2,1,16459791.92,F45,NOT,"463.30498,13.891",TRUE,463.30498,13.891,0.079,2,1,16264621.03,F8,BTZ,"463.30498,13.891",0.988142566
TRUE,246.1831,13.892,0.064,2,1,21124107.84,F38,NOT,"246.1831,13.892",TRUE,246.1831,13.892,0.067,2,1,22054521.77,F5,BTZ,"246.1831,13.892",1.044045123
TRUE,208.18213,13.903,0.094,2,2,98821653.89,F43,NOT,"208.18213,13.903",TRUE,208.18213,13.903,0.096,2,2,93115701.79,F11,BTZ,"208.18213,13.903",0.942260103
TRUE,172.03704,13.932,0.055,1,2,36595663.54,F36,NOT,"172.03704,13.932",TRUE,172.03704,13.932,0.065,2,2,28274976.91,F3,BTZ,"172.03704,13.932",0.772631896
TRUE,195.08914,13.951,0.057,2,1,277776707.7,F38,NOT,"195.08914,13.951",TRUE,195.08914,13.951,0.054,2,1,256963654.4,F5,BTZ,"195.08914,13.951",0.925072719
TRUE,374.05281,13.956,0.125,3,1,12765380.03,F35,NOT,"374.05281,13.956",TRUE,374.05281,13.956,0.121,2,1,10371293.24,F5,BTZ,"374.05281,13.956",0.812454719
TRUE,122.10936,13.964,0.062,1,2,28666507.86,F43,NOT,"122.10936,13.964",TRUE,122.10936,13.964,0.073,2,1,41459867.2,F12,BTZ,"122.10936,13.964",1.446282449
TRUE,256.20387,13.965,0.08,2,1,27083194.6,F35,NOT,"256.20387,13.965",TRUE,256.20387,13.965,0.087,2,1,45093730.6,F5,BTZ,"256.20387,13.965",1.665007813
TRUE,301.15194,13.969,0.05,2,3,372930973.8,F39,NOT,"301.15194,13.969",TRUE,301.15194,13.969,0.052,2,3,314250348.9,F6,BTZ,"301.15194,13.969",0.842650171
TRUE,106.04209,13.97,0.057,2,1,170364664.6,F36,NOT,"106.04209,13.97",TRUE,106.04209,13.97,0.06,2,1,140550881.4,F3,BTZ,"106.04209,13.97",0.825000194
TRUE,271.0865,13.978,0.058,2,1,38208728.58,F38,NOT,"271.0865,13.978",TRUE,271.0865,13.978,0.057,2,1,38998556.72,F7,BTZ,"271.0865,13.978",1.020671406
TRUE,162.03127,13.994,0.057,2,1,58576393.36,F45,NOT,"162.03127,13.994",TRUE,162.03127,13.994,0.054,2,1,56396062.19,F11,BTZ,"162.03127,13.994",0.962777989
TRUE,1097.52463,13.996,0.065,3,1,26114919.35,F38,NOT,"1097.52463,13.996",TRUE,1097.52463,13.996,0.062,2,1,17553780.28,F4,BTZ,"1097.52463,13.996",0.672174401
TRUE,238.08367,14.012,0.116,2,1,232517491.1,F39,NOT,"238.08367,14.012",TRUE,238.08367,14.012,0.101,2,1,207174713.4,F6,BTZ,"238.08367,14.012",0.891007005
TRUE,104.06281,14.013,0.093,2,1,173191557.7,F40,NOT,"104.06281,14.013",TRUE,104.06281,14.013,0.086,2,1,207239634.6,F6,BTZ,"104.06281,14.013",1.196592013
TRUE,242.11519,14.015,0.057,2,2,279775413.4,F35,NOT,"242.11519,14.015",TRUE,242.11519,14.015,0.056,3,2,422634546.1,F5,BTZ,"242.11519,14.015",1.510620755
TRUE,254.15136,14.016,0.054,3,5,3810509188,F40,NOT,"254.15136,14.016",TRUE,254.15136,14.016,0.057,3,7,5955590293,F4,BTZ,"254.15136,14.016",1.562938179
